"time","cases"
0,24
7,4
14,4
21,9
28,5
35,14
42,10
49,10
56,16
63,8
70,14
77,18
84,22
91,11
98,21
105,10
112,19
119,11
126,57
133,33
140,12
147,8
154,18
161,25
168,32
175,25
182,21
189,13
196,41
203,40
210,57
217,32
224,35
231,34
238,45
245,48
252,67
259,53
266,72
273,48
280,85
287,44
294,44
301,33
308,70
315,121
322,108
329,73
336,66
343,69
350,136
357,67
364,98
371,97
378,129
385,83
392,134
399,90
406,213
413,162
420,141
427,209
434,132
441,122
448,355
455,233
462,188
469,180
476,194
483,160
490,256
497,222
504,228
511,271
518,433
525,349
532,435
539,377
